Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
1, 9, 9, EQUAL_PRIORITY: 1689, 1689, 0.0; 3654, 3654, 0.0; 3663, 3663, 0.0; 1680, 1680, 0.0; 0.0; 4182.186266090997, 19848.61982153532; 5976.12515214364
2, 9, 9, EQUAL_PRIORITY: 1639, 1639, 0.0; 3701, 3701, 0.0; 3672, 3672, 0.0; 1668, 1668, 0.0; 0.0; 4376.014783898194, 20051.03095529531; 5984.064674731227
3, 9, 9, EQUAL_PRIORITY: 1652, 1652, 0.0; 3689, 3689, 0.0; 3675, 3675, 0.0; 1666, 1666, 0.0; 0.0; 4422.488446454139, 19725.83353118437; 5976.847544277599
4, 9, 9, EQUAL_PRIORITY: 1681, 1681, 0.0; 3660, 3660, 0.0; 3689, 3689, 0.0; 1652, 1652, 0.0; 0.0; 3991.654226488681, 19790.63650785231; 5971.7613730420535
5, 9, 9, EQUAL_PRIORITY: 1699, 1699, 0.0; 3673, 3673, 0.0; 3686, 3686, 0.0; 1686, 1686, 0.0; 0.0; 4480.118907566124, 20699.763405064587; 6001.507970954981
6, 9, 9, EQUAL_PRIORITY: 1674, 1674, 0.0; 3692, 3692, 0.0; 3669, 3669, 0.0; 1697, 1697, 0.0; 0.0; 4221.648028440133, 20808.238509275936; 6000.15513548795
7, 9, 9, EQUAL_PRIORITY: 1651, 1651, 0.0; 3689, 3689, 0.0; 3662, 3662, 0.0; 1678, 1678, 0.0; 0.0; 3878.2056507050584, 19755.970375246936; 5969.159602561581
8, 9, 9, EQUAL_PRIORITY: 1676, 1676, 0.0; 3692, 3692, 0.0; 3667, 3667, 0.0; 1701, 1701, 0.0; 0.0; 3451.549449626458, 20097.822137530122; 5970.899400791085
9, 9, 9, EQUAL_PRIORITY: 1633, 1633, 0.0; 3700, 3700, 0.0; 3669, 3669, 0.0; 1664, 1664, 0.0; 0.0; 4603.7613647153485, 19928.40037903923; 5984.596554180481
10, 9, 9, EQUAL_PRIORITY: 1690, 1690, 0.0; 3639, 3639, 0.0; 3679, 3679, 0.0; 1650, 1650, 0.0; 0.0; 4036.6086079583474, 19018.118622089052; 5953.603980543196
11, 9, 9, EQUAL_PRIORITY: 1613, 1613, 0.0; 3707, 3707, 0.0; 3650, 3650, 0.0; 1670, 1670, 0.0; 0.0; 4014.4216995146126, 19969.571327545418; 5976.4805884623465
12, 9, 9, EQUAL_PRIORITY: 1666, 1666, 0.0; 3701, 3701, 0.0; 3684, 3684, 0.0; 1683, 1683, 0.0; 0.0; 3938.9402065791073, 19920.270696763895; 5974.109252344271
13, 9, 9, EQUAL_PRIORITY: 1630, 1630, 0.0; 3713, 3713, 0.0; 3665, 3665, 0.0; 1678, 1678, 0.0; 0.0; 5660.606869134674, 20149.841289854783; 6006.356709215207
14, 9, 9, EQUAL_PRIORITY: 1622, 1622, 0.0; 3723, 3723, 0.0; 3672, 3672, 0.0; 1673, 1673, 0.0; 0.0; 4109.571875436959, 20417.429909620754; 5988.883032771317
15, 9, 9, EQUAL_PRIORITY: 1624, 1624, 0.0; 3699, 3699, 0.0; 3664, 3664, 0.0; 1659, 1659, 0.0; 0.0; 4207.448419609893, 18950.181736559505; 5954.589946493332
16, 9, 9, EQUAL_PRIORITY: 1684, 1684, 0.0; 3653, 3653, 0.0; 3660, 3660, 0.0; 1677, 1677, 0.0; 0.0; 4240.845717892706, 19140.32653794493; 5959.747248048186
17, 9, 9, EQUAL_PRIORITY: 1689, 1689, 0.0; 3668, 3668, 0.0; 3682, 3682, 0.0; 1675, 1675, 0.0; 0.0; 4308.011011219889, 19433.02266738497; 5967.929890270536
18, 9, 9, EQUAL_PRIORITY: 1599, 1599, 0.0; 3731, 3731, 0.0; 3660, 3660, 0.0; 1670, 1670, 0.0; 0.0; 3893.453487967694, 19432.29122926209; 5961.496268504111
19, 9, 9, EQUAL_PRIORITY: 1623, 1623, 0.0; 3716, 3716, 0.0; 3665, 3665, 0.0; 1674, 1674, 0.0; 0.0; 3631.9014066119707, 20837.66507528258; 5991.746252772915
20, 9, 9, EQUAL_PRIORITY: 1722, 1722, 0.0; 3646, 3646, 0.0; 3694, 3694, 0.0; 1674, 1674, 0.0; 0.0; 4093.0746692416287, 19952.387171416587; 5977.278461564501
21, 9, 9, EQUAL_PRIORITY: 1630, 1630, 0.0; 3730, 3730, 0.0; 3685, 3685, 0.0; 1675, 1675, 0.0; 0.0; 3930.913515393462, 19494.88410451384; 5963.603571241249
22, 9, 9, EQUAL_PRIORITY: 1644, 1644, 0.0; 3702, 3702, 0.0; 3677, 3677, 0.0; 1669, 1669, 0.0; 0.0; 4756.253789115275, 18809.34561366838; 5959.646290879406
23, 9, 9, EQUAL_PRIORITY: 1671, 1671, 0.0; 3628, 3628, 0.0; 3643, 3643, 0.0; 1656, 1656, 0.0; 0.0; 4163.838378981964, 18995.84137333627; 5955.029341762094
24, 9, 9, EQUAL_PRIORITY: 1644, 1644, 0.0; 3649, 3649, 0.0; 3639, 3639, 0.0; 1654, 1654, 0.0; 0.0; 3893.6250897594873, 18027.24471595176; 5927.209098623672
25, 9, 9, EQUAL_PRIORITY: 1649, 1649, 0.0; 3690, 3690, 0.0; 3681, 3681, 0.0; 1658, 1658, 0.0; 0.0; 4606.4072027853545, 18475.961277739494; 5949.191071226035
26, 9, 9, EQUAL_PRIORITY: 1673, 1673, 0.0; 3668, 3668, 0.0; 3663, 3663, 0.0; 1678, 1678, 0.0; 0.0; 3938.9902044416085, 19425.393052576852; 5962.032655042341
27, 9, 9, EQUAL_PRIORITY: 1664, 1664, 0.0; 3677, 3677, 0.0; 3670, 3670, 0.0; 1671, 1671, 0.0; 0.0; 3874.867375198024, 21040.221317818898; 6000.449777253407
28, 9, 9, EQUAL_PRIORITY: 1692, 1692, 0.0; 3608, 3608, 0.0; 3627, 3627, 0.0; 1673, 1673, 0.0; 0.0; 4274.328500460368, 19814.741459151526; 5976.724369545942
29, 9, 9, EQUAL_PRIORITY: 1664, 1664, 0.0; 3665, 3665, 0.0; 3669, 3669, 0.0; 1660, 1660, 0.0; 0.0; 4180.815315939384, 21395.24131105392; 6013.848864266449
30, 9, 9, EQUAL_PRIORITY: 1682, 1682, 0.0; 3671, 3671, 0.0; 3683, 3683, 0.0; 1670, 1670, 0.0; 0.0; 4456.38269722744, 20993.401812391385; 6008.3068002595
1, 9, 10, EQUAL_PRIORITY: 1721, 1721, 0.0; 3816, 3816, 0.0; 3662, 3662, 0.0; 1875, 1875, 0.0; 0.0; 4377.657882965315, 24098.210498462096; 6451.860556782169
2, 9, 10, EQUAL_PRIORITY: 1669, 1669, 0.0; 3862, 3862, 0.0; 3661, 3661, 0.0; 1870, 1870, 0.0; 0.0; 4495.30833397586, 24894.361171293218; 6473.1112051823775
3, 9, 10, EQUAL_PRIORITY: 1676, 1676, 0.0; 3839, 3839, 0.0; 3668, 3668, 0.0; 1847, 1847, 0.0; 0.0; 4168.735295596925, 22231.463720047715; 6403.069720361593
4, 9, 10, EQUAL_PRIORITY: 1705, 1705, 0.0; 3809, 3809, 0.0; 3691, 3691, 0.0; 1823, 1823, 0.0; 0.0; 4160.347374103687, 19333.30321949495; 6332.210990313089
5, 9, 10, EQUAL_PRIORITY: 1730, 1730, 0.0; 3803, 3803, 0.0; 3673, 3673, 0.0; 1860, 1860, 0.0; 0.0; 3806.7318870990857, 22670.0324151261; 6408.170451240921
6, 9, 10, EQUAL_PRIORITY: 1702, 1702, 0.0; 3831, 3831, 0.0; 3669, 3669, 0.0; 1864, 1864, 0.0; 0.0; 5487.707254532259, 21708.392538147382; 6410.71695397731
7, 9, 10, EQUAL_PRIORITY: 1668, 1668, 0.0; 3854, 3854, 0.0; 3659, 3659, 0.0; 1863, 1863, 0.0; 0.0; 3810.949677407014, 22537.86870614467; 6405.010302716973
8, 9, 10, EQUAL_PRIORITY: 1704, 1704, 0.0; 3848, 3848, 0.0; 3677, 3677, 0.0; 1875, 1875, 0.0; 0.0; 4085.5691748754034, 21799.249846781895; 6391.234548967153
9, 9, 10, EQUAL_PRIORITY: 1670, 1670, 0.0; 3850, 3850, 0.0; 3650, 3650, 0.0; 1870, 1870, 0.0; 0.0; 3827.1959838928888, 25069.622626004057; 6467.048585266299
