Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
1, 9, 9, EQUAL_PRIORITY: 3351, 3126, 0.06714413607878245; 7331, 7253, 0.010639749011048916; 7315, 7053, 0.03581681476418319; 3367, 3326, 0.01217701217701217; 0.0283654746302191; 8485.880933058968, 39463.507123530566; 5974.213302477467
2, 9, 9, EQUAL_PRIORITY: 3376, 3147, 0.06783175355450233; 7331, 7294, 0.005047060428318151; 7369, 7133, 0.032026055095671024; 3338, 3308, 0.0089874176153385; 0.024843560287662325; 8583.521850181418, 39674.281546259306; 5977.540806994449
3, 9, 9, EQUAL_PRIORITY: 3230, 3087, 0.04427244582043344; 7463, 7422, 0.005493769261690984; 7341, 7182, 0.021659174499387035; 3352, 3327, 0.007458233890214827; 0.017207518937622734; 8457.257687764308, 39554.55126138066; 5975.102768332881
4, 9, 9, EQUAL_PRIORITY: 3346, 3195, 0.0451285116557083; 7336, 7303, 0.004498364231188656; 7353, 7208, 0.01971984224126211; 3329, 3290, 0.011715229798738402; 0.017225238719340896; 8297.04516974639, 40593.206040558995; 5986.537089903668
5, 9, 9, EQUAL_PRIORITY: 3347, 3158, 0.05646847923513598; 7349, 7299, 0.006803646754660497; 7337, 7131, 0.028076870655581287; 3359, 3326, 0.00982435248585889; 0.022344801795063596; 8791.012236451996, 42965.55261256014; 6019.307730732951
6, 9, 9, EQUAL_PRIORITY: 3334, 3161, 0.051889622075584896; 7356, 7320, 0.004893964110929905; 7326, 7145, 0.02470652470652468; 3364, 3336, 0.008323424494649179; 0.019550982226379743; 8188.619585873752, 41711.19467433459; 5999.340205619177
7, 9, 9, EQUAL_PRIORITY: 3333, 3131, 0.06060606060606055; 7360, 7320, 0.005434782608695676; 7347, 7137, 0.02858309514087387; 3346, 3314, 0.009563658099222994; 0.022631628167960383; 7717.800657095489, 38747.58606537874; 5959.533882668158
8, 9, 9, EQUAL_PRIORITY: 3318, 3100, 0.0657022302591923; 7404, 7303, 0.013641274986493812; 7337, 7079, 0.03516423606378627; 3385, 3324, 0.018020679468242262; 0.02975191195672444; 7167.8650634746355, 39882.47638878733; 5969.126792735304
9, 9, 9, EQUAL_PRIORITY: 3194, 3041, 0.04790231684408264; 7466, 7421, 0.006027323868202483; 7334, 7176, 0.02154349604581407; 3326, 3286, 0.0120264582080577; 0.018574108818011248; 8805.629786383033, 38308.73452395779; 5962.596574383401
10, 9, 9, EQUAL_PRIORITY: 3374, 3196, 0.05275637225844698; 7333, 7299, 0.004636574389744963; 7376, 7204, 0.02331887201735361; 3331, 3291, 0.012008405884118889; 0.019800130755580514; 8046.436071821265, 39503.59124355399; 5971.301957991984
11, 9, 9, EQUAL_PRIORITY: 3288, 3144, 0.04379562043795615; 7362, 7309, 0.0071991306710132985; 7318, 7156, 0.022137195955179045; 3332, 3297, 0.010504201680672232; 0.01849765258215963; 8295.682762330965, 39335.97990064308; 5971.185395162789
12, 9, 9, EQUAL_PRIORITY: 3289, 3112, 0.053815749467923335; 7398, 7365, 0.0044606650446066265; 7350, 7174, 0.023945578231292508; 3337, 3303, 0.010188792328438723; 0.01965004210723309; 8215.236442601932, 39326.80453769102; 5970.450932605054
13, 9, 9, EQUAL_PRIORITY: 3291, 3120, 0.051959890610756565; 7364, 7299, 0.008826724606192271; 7314, 7108, 0.028165162701668023; 3341, 3311, 0.008979347500748247; 0.022149225715626497; 9589.97931789331, 39311.58300717539; 5980.903084987922
14, 9, 9, EQUAL_PRIORITY: 3269, 3130, 0.04252064851636583; 7416, 7376, 0.005393743257820938; 7317, 7177, 0.019133524668579982; 3368, 3329, 0.01157957244655583; 0.016752456715021014; 8495.911704895421, 41510.334764236395; 5999.267092161004
